#1:plr 2:<w> 3:std(w) 4:nih 5:nih_low 6:nih_high 7:nch 8:nch_low 9:nch_high 10:<rhoe> 11:nh 12:ntot
0.000000 0.649707 0.041973 104 22 7 632 119 63 0.558424 736 603.997121
0.050000 0.708072 0.031825 98 26 47 623 143 324 0.583911 721 593.958996
0.100000 0.747017 0.032993 143 28 87 582 127 300 0.616552 725 601.284053
0.150000 0.754787 0.036624 148 34 73 685 177 370 0.609244 833 668.274012
0.200000 0.765374 0.034306 158 21 91 596 149 267 0.647215 754 628.474183
0.250000 0.774683 0.031839 175 32 128 568 167 358 0.649394 743 616.974947
0.300000 0.773868 0.029860 180 30 77 608 158 236 0.684645 788 654.987466
0.350000 0.779985 0.031316 166 18 119 653 138 379 0.656899 819 668.174757
0.400000 0.786444 0.031758 184 20 112 630 139 319 0.686118 814 673.943293
0.450000 0.790021 0.029575 178 35 101 610 149 284 0.655457 788 653.167281
0.500000 0.786799 0.030049 180 55 111 643 156 419 0.674970 823 678.195568
0.550000 0.785437 0.031844 208 39 141 558 108 362 0.696475 766 624.690441
0.600000 0.793315 0.029468 206 41 124 612 131 344 0.687653 818 668.167171
0.650000 0.795644 0.027719 212 35 130 655 136 398 0.692042 867 699.915606
0.700000 0.798431 0.027448 203 36 129 583 104 329 0.699109 786 654.618029
0.750000 0.798902 0.029723 216 27 165 617 122 411 0.710084 833 678.513900
0.800000 0.797132 0.026672 235 39 178 588 136 383 0.695626 823 663.586037
0.850000 0.796319 0.027430 224 36 164 596 144 350 0.706098 820 660.059788
0.900000 0.805440 0.026095 205 34 143 624 131 404 0.689988 829 670.456996
0.950000 0.801934 0.025807 223 34 157 576 103 370 0.710889 799 653.528813
